cz,en
zbavit,deprive
kočka,cat
podzim,autumn
brána,gate
značný,considerable
vnější,external
koleno,knee
obyčejný,ordinary
snížit,reduce
chvilka,a moment
prodat,sell
víra,faith
víkend,weekend
hřiště,field
kariéra,career
celek,whole
tj,i.e
žlutý,yellow
zkouška,exam
občanský,civil
letadlo,aircraft
dotace,subsidy
nos,nose
výstavba,construction
okolnost,circumstance
vzdálenost,distance
román,novel
počasí,weather
poznamenat,to note
doplnit,to supplement
zmíněný,mentioned
dodnes,to this day
starat,to care
fanoušek,fan
filmový,cinematic
Francie,France
areál,campus
touha,desire
sdělit,communicate
pravidelný,regular
zbývat,remain
nahradit,replace
nastoupit,to board
bok,side
ekonomika,economy
lék,medicine
popisovat,describe
teplo,heat
jedinec,individual
operace,operation
trpět,suffer
olej,oil
jemný,fine
vědec,scientist
odjet,to leave
vazba,custody
budoucí,future
průměr,diameter
připravený,prepared
ostatně,moreover
přikývnout,nod
pravidelně,regularly
zpívat,sing
vyjádřit,express
vyrábět,to produce
dle,according to
večeře,dinner
Jaroslav,Jaroslav
déšť,rain
narazit,encounter
několikrát,several times
příslušný,relevant
vůně,scent
vystoupit,to get out
bezpečnost,safety
termín,term
chránit,defend
fotbal,football
led,ice
postoj,position
tábor,camp
padesát,fifty
Němec,German
fotbalový,football
vesmír,universe
paže,arm
vzdálený,distant
břeh,bank
častý,frequent
klást,put
tón,tone
prosinec,December
zažít,experience
nýbrž,but
káva,coffee
dotknout,to touch
agentura,agency
uvědomovat,to realize
smích,laughter
přežít,survive
manažer,manager
lidový,folk
spotřeba,consumption
kost,bone
rekonstrukce,reconstruction
jistota,certainty
zítra,tomorrow
přečíst,to read
patro,floor
zahraničí,abroad
čerstvý,fresh
zboží,goods
autobus,bus
charakter,character
ostrý,keen
vzájemný,mutual
tiše,quietly
léčba,therapy
televizní,television
děkovat,thank
hotový,done
pád,fall
červenec,July
energetický,energetic
pohlédnout,to look
též,also
zachovat,to preserve
patnáct,fifteen
vrchol,top
znalost,knowledge
studie,studies
reálný,real
spočívat,rest
sednout,Sit
umístit,place
ČSSD,CSSD
to,it
podstatný,substantial
církev,church
žádost,request
klidný,quiet
domnívat,to suppose
faktor,factor
pokaždé,every time
mapa,map
studovat,study
sbírka,collection
časový,temporal
Londýn,London
účinek,effect
pták,bird
dostatečný,sufficient
mobilní,mobile
lišit,differ
aktuální,current
výbor,committee
táhnout,PULL
hmota,mass
účast,participation
postavení,position
určený,intended
souviset,to relate
pevně,firmly
východ,East
dostatečně,sufficiently
zisk,profit
hledět,look
levný,cheap
znak,character
následně,subsequently
informovat,inform
únor,February
vůle,will
účastník,party
milý,nice
Ostrava,Ostrava
částka,amount
dohoda,agreement
naštěstí,fortunately
oproti,compared to
instituce,institution
srovnání,comparison
Michal,Michael
proběhnout,to run through
podílet,participate
adresa,address
současnost,present
ztrácet,waste
předpoklad,assumption
bezpečnostní,safety
zas,again
nálada,mood
přivést,bring
původ,origin
pořádně,properly
odmítat,to refuse
oprava,repair
hospodářský,economic
nákup,purchase
zimní,winter
vteřina,second
pátek,Friday
obvod,circuit
západ,west
účet,account
zakázka,order
vězení,prison
kruh,ring
rozsáhlý,extensive
spor,dispute
svaz,union
hodnocení,evaluation
označit,mark
odpor,resistance
krása,beauty
takzvaný,so-called
vyskytovat,to occur
Morava,Moravia
produkce,production
mléko,milk
pozitivní,positive
silně,strongly
lokalita,localities
oblečení,clothing
zlý,evil
průmysl,industry
apod,etc.
chytit,catch
finance,finance
poměr,ratio
lehce,easily
dávný,ancient
utéci,flee
ovlivnit,to influence
vybírat,choose
vybavit,equip
kapitán,captain
fyzický,physical
temný,dark
odchod,departure
poznámka,note
úsek,section
unie,union
uložit,impose
režisér,director
rozšířit,extend
stáhnout,download
osobně,personally
samostatný,separate
studený,cold
odcházet,go
slza,tear
série,series
křeslo,chair
toužit,desire
výchova,upbringing
soustředit,concentrate
pozdní,late
tráva,grass
spustit,launch
ticho,silence
viset,hang
východní,east
domácnost,household
hala,hall
nehoda,accident
tlačítko,button
nárok,claim
dno,bottom
pozor,Attention
zaujmout,take
anglický,English
nazývat,to call
odkud,from where
radnice,town hall
pořídit,to acquire
cosi,something
hmotnost,weight
Zdeněk,Zdenek
hnutí,movement
stanovit,to establish
kapela,band
slovenský,Slovak
pobyt,stay
sál,hall
upozornit,to warn
projevit,to manifest
potravina,foodstuff
dlouhodobý,long-term
tichý,quiet
detail,detail
plánovat,plan
zmínit,to mention
odpoledne,afternoon
přítomný,present
rovnou,straight
jinde,elsewhere
vítěz,winner
dohromady,together
kurs,course
trať,track
vánoční,Christmas
veliký,great
fakulta,faculty
horký,hot
tehdejší,then
York,York
kapacita,capacity
pěkně,nicely
přání,washing
umělec,artist
odlišný,different
vyvolat,cause
zlato,gold
blížit,to approach
mladík,young man
hodlat,intend
informační,informational
plně,fully
spadnout,fall
knížka,book
zahájit,start
spánek,sleep
dostupný,available
případný,possible
realita,reality
květ,bloom
křičet,scream
rozsah,range
poradit,to advise
zvyšovat,increase
vina,fault
rozdělit,partition
fotka,photo
signál,signal
čaj,tea
novinář,journalist
zásada,principle
populace,population
splnit,to fulfill
obrana,defense
nadále,continue
proměnit,transform
průměrný,average
cukr,sugar
padat,fall
úplný,complete
dvůr,courtyard
Anna,Anna
hrdina,hero
učinit,to do
působení,action
prozradit,reveal
podávat,to serve
dočkat,to wait
probudit,wake
třetina,third
spodní,lower
premiér,premier
displej,display
jádro,core
vzor,pattern
zavést,introduce
uskutečnit,to carry out
vedoucí,head
dovolená,holiday
doporučovat,to recommend
strašně,terribly
nádherný,splendid
soustava,system
italský,Italian
vydávat,to issue
vzdělávání,education
věž,tower
rozhodovat,to decide
slečna,miss
zážitek,experience
dokončit,complete
norma,standard
nebezpečí,danger
rovnice,equation
záznam,record
povést,reputation
moment,moment
okolo,around
památka,monument
zaznamenat,record
dospělý,adult
turnaj,tournament
nechávat,to leave
provedení,execution
tajný,secret
povaha,nature
jev,phenomenon
jednoduše,simply
tenkrát,then
následek,result
větev,branch
vyřešit,solve
přednost,preference
Vánoce,Christmas
dvanáct,twelve
týž,same
mobil,mobile phone
specifický,specific
cigareta,cigarette
zasáhnout,hit
Richard,Richard
spisovatel,writer
usmívat,to smile
jednak,on the one hand
natolik,enough
připojit,connect
strategie,strategy
podepsat,sign
linka,line
předem,in advance
blok,block
kamera,camera
Olomouc,Olomouc
Čína,China
chladný,cold
nutit,to force
regionální,regional
dáma,lady
Slovensko,Slovakia
pár,few
brněnský,Brno
design,design
diskuse,discussion
vybraný,selected
označovat,to mark
boží,divine
ocitnout,to find oneself
stavět,build
suchý,dry
zkrátka,abbreviation
kamenný,stone
hnědý,brown
soused,neighbor
klíč,key
odhalit,reveal
tajemství,secret
dávka,dose
trasa,route
zbýt,to remain
vyhnout,avoid
parametr,parameter
kopec,hill
mírně,slightly
sdružení,association
zvýšení,increase
závislost,dependence
převzít,assume
zajít,to go
doslova,literally
zvláště,especially
pochopitelně,of course
vyzkoušet,to try
nepřítel,enemy
seznámit,acquaint
koukat,to look
zpravidla,usually
hrozně,terribly
Miroslav,Miroslav
vydání,edition
km,kilometers
zaměřit,to focus
čínský,Chinese
omezený,limited
Vladimír,Vladimir
internetový,internet
viditelný,visible
seriál,serial
svobodný,free
částice,particle
víc,more
uvnitř,inside
popis,description
vzdát,surrender
onemocnění,disease
díra,hole
naposledy,last time
zásah,intervention
kdykoli,whenever
přiblížit,to bring closer
projevovat,to manifest
váha,weight
útočník,attacker
břicho,belly
stihnout,catch
sluneční,solar
povědět,tell
podivný,strange
podpořit,to support
komora,chamber
sbor,corps
představení,performance
Afrika,Africa
symbol,symbol
jelikož,as
planeta,planet
příspěvek,contribution
nábytek,furniture
architekt,architect
výzva,call
Robert,Robert
udržovat,maintain
zamířit,to aim
náhodou,by chance
skladba,composition
zasmát,to laugh
